# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.9543314587306604 0.0013049831334704996 0.7066638258903727 9.663145497148547E-4 0.999897788584194 3.383492354694449E-4 0.0121796120399246 2.479123361396631E-4
150 0.9460846112462608 0.001374818165868633 0.7005571962267004 0.0010180260287034795 1.0003913338377939 2.883516944496858E-4 0.014736528376256844 3.1052967074068357E-4
120 0.9367682775290435 9.414215573216802E-4 0.6936586328736314 6.971042957720361E-4 1.000395862686401 4.070032168435389E-4 0.019449932401428994 3.8486019687554587E-4
100 0.9282547732651089 0.0011112385575031843 0.6873545490672691 8.228504712288791E-4 0.9994679851512457 4.293183386664976E-4 0.02271199130308988 4.7221806373789663E-4
90 0.9226492196469045 0.001003969615031777 0.6832037459790605 7.434199121711488E-4 1.000362691248556 6.440596600919843E-4 0.023897340095769125 5.398049352448966E-4
80 0.9160136853901021 7.33997554435729E-4 0.6782902623232083 5.435108685451273E-4 1.0001283527986837 4.6892106126570206E-4 0.026874938621141615 5.416524827304401E-4
70 0.9064360364953747 7.761803079028611E-4 0.6711982001795325 5.747463744955674E-4 1.0003204883857852 7.48631225823844E-4 0.02975342691184616 6.15244746365581E-4
60 0.8955684292805456 5.838321546624803E-4 0.6631509490673039 4.3231631978488225E-4 0.9994143071378344 7.169782088384042E-4 0.036864270430127286 7.083301650501124E-4
50 0.8790929935454491 5.98548772049048E-4 0.6509512103462733 4.432136878165327E-4 0.9986084313164466 7.418488543206492E-4 0.04213457640202265 9.46123293357924E-4
40 0.8571370603061577 6.746911570053269E-4 0.6346932701495744 4.9959563832698E-4 1.0012396670876518 0.001170074723563473 0.05593991439554062 0.0011649118838967956
35 0.842484428652694 7.632826276967344E-4 0.6238432822875255 5.651958939329147E-4 1.001395288927361 0.0011090960421734758 0.05766905392646823 0.0011013944136743395
30 0.8198084032290079 7.958884679269092E-4 0.6070521278775023 5.893398824641404E-4 0.9967729262162612 0.0013582399519371012 0.07636229459689921 0.0012322777256810306
28 0.8123866104036058 6.782781308737088E-4 0.6015564350917479 5.022517224964113E-4 0.9993442058344993 0.0016298222915599675 0.07515866673537455 0.0014764495328603488
26 0.8007747243975332 7.780367364128743E-4 0.5929580600557113 5.76121023590444E-4 1.001427250482009 0.0023181995222258897 0.07528358368582908 0.0017077897331692895
24 0.7889668427293332 5.884421156781407E-4 0.5842145540558049 4.357299059729225E-4 0.9998375701398918 0.002486275516172306 0.08592192504008903 0.0018463029950689057
23 0.7800904436899051 7.437319436065786E-4 0.5776417537483782 5.507189938004771E-4 0.9985328937564759 0.0015069949335344344 0.08785591050811016 0.0017316015579307764
22 0.7737420063763437 7.334625160814142E-4 0.5729408597776465 5.4311468308817E-4 1.0022341760449143 0.002145152965481107 0.09023575798911614 0.001888956905644656
21 0.7645164767939628 5.958028795424511E-4 0.5661095351148073 4.411804080166851E-4 1.0071485334904624 0.003220220546568578 0.10045376409268846 0.001910980229860995
20 0.7559197539982534 0.0010511231566596555 0.559743829609285 7.783361897605255E-4 1.005246867685003 0.0018868315613253593 0.10391760179226624 0.0019336343142211825
19 0.7472244420702366 7.455678516455039E-4 0.5533051207747932 5.520784478857241E-4 0.9925206809706274 0.002446158913171219 0.102370014909909 0.00230506176823371
18 0.7341578380083718 0.0015136371326466248 0.5436295554004382 0.001120818765197592 1.0029023386985907 0.005999984422399317 0.11683103917169917 0.002129720971587299
17 0.722747789744347 0.0012275802718630104 0.5351806372744715 9.089992408466256E-4 1.0016333665791513 0.004790937992327267 0.1177793488545951 0.002284137865698267
16 0.7125145257181166 0.0013961806365851192 0.52760310491717 0.001033844521478118 1.0036059131772876 0.004190111425559993 0.11715306643002059 0.002191770596205977
#14 0.6961136739997668 0.002958227415188403 0.5154585942053832 0.0021905096850204607 1.0038965843433652 0.001318672253963784 1.6343772496743993 0.006846553502271347
#12 0.6757604545912987 0.0010109796062663379 0.5003874323309705 7.486106739089715E-4 0.9835852994300986 3.2412823411514705E-4 0.6022995252127143 0.004814139574472656
