# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.9973682612763771 0.0032291089642396496 0.7385317385142485 0.0023910921871179475 1.0623068281944839 0.003419109373590443 0.01513442217550517 2.127204952787956E-4
150 0.9828074270756731 0.0028547814532943337 0.7277497248749718 0.0021139099685019438 1.060353600190189 0.0036512800264330227 0.020469169715140897 3.0378746148336755E-4
120 0.9687977591392188 0.002279644303815155 0.7173758391009489 0.00168803213041615 1.0607586722004163 0.0026145488664411254 0.023191253876767813 3.5212371739577996E-4
100 0.9546933572408135 0.002257229008226061 0.7069318046763903 0.0016714340413546034 1.0611905452264259 0.002695105540667358 0.02746759546370579 4.358409171625459E-4
90 0.9464226294106503 0.0020713745631139157 0.7008074920825927 0.0015338124508357167 1.0591682101865159 0.0025812393522628868 0.032785717533247 4.7851185540297424E-4
80 0.9360518408759803 0.0019559381878492 0.6931281255099372 0.0014483340671445244 1.059370539055239 0.003248290145431413 0.03732574360342928 5.557062447844209E-4
70 0.9209870305032956 0.0015710418386544354 0.6819729273480384 0.0011633258300185762 1.0572318807702856 0.0025097171619999897 0.044001864305903866 6.480991156525685E-4
60 0.9035715255789744 0.0013965708585829011 0.6690770857334253 0.0010341334732507505 1.0537869253888308 0.0027621409902172296 0.04520306868227128 7.756740385364789E-4
50 0.8783152573850932 0.0027923582906658547 0.650375311893401 0.002067686834466645 1.0439261558029267 0.005410317885567187 0.060731990945558145 7.970813097908442E-4
40 0.845294688013748 0.0011706871446847155 0.6259242245153633 8.668709901695864E-4 1.0348236897631453 0.0033835973690462136 0.07158267113011726 0.0011044711511121199
35 0.8239394280270571 0.001124572198721259 0.6101110711428961 8.327237724006182E-4 1.033267690568768 0.004330114050360451 0.08194320207991752 0.001154868732252925
30 0.7943852080876742 0.0016137740865188105 0.5882267478896854 0.0011949682258376587 1.0210197652813313 0.004056411275648791 0.09620166620556388 0.0013276499997527725
#28 0.7861492587893494 0.002923757370617702 0.5821281881201745 0.002164985289528194 1.0206672957875416 0.0014486828620872293 0.09472740947078341 0.0014233547672688098
#26 0.7734428365328867 0.003492419387130657 0.5727193303454621 0.0025860684180021905 1.0138816202512673 0.002818855515763901 0.09918917059033824 0.0014967139578854873
#24 0.765213719897987 0.0040397565515545375 0.5666258300299102 0.0029913609095397154 1.0254922550355747 0.002198032132891236 0.37609439786329735 0.002459502127175402
#23 0.7546045535544014 0.005714054232261966 0.5587699493405769 0.004231145676038057 1.0079598168984458 0.0010071788109907807 0.11324536394094797 0.0015354510375499507
#22 0.7506234026324652 0.006556438142012849 0.5558219847563596 0.004854914526040174 0.9969118722377804 0.0012156176183468175 0.1138362641928244 0.0016871024379596718
#21 0.7461697230206454 0.006281135323281889 0.5525241218964634 0.0046510581600109685 0.9926120027933976 0.0013789300288345723 0.7954433558640107 0.003670680641077232
#20 0.7398925427358395 0.0047192284538296065 0.5478759923652785 0.0034944965964690427 1.0086269994294832 7.78739186945275E-4 0.113790806956954 0.0018809294675138125
#19 0.7355017465847975 0.005887041362812416 0.5446246934812127 0.004359239271178503 0.9992866541639541 0.001478145792547864 0.6234091008757124 0.003067571808298246
#18 0.7354458931784413 0.005833261513137964 0.5445833351235229 0.004319416341758751 1.0024632151809911 0.0012918100745680648 0.2412570592478728 0.0025094936075022384
#17 0.726248804957896 0.005908209877062446 0.5377730707342232 0.004374914142977903 1.0047458537730123 0.0011838124467006455 1.5439698045301593 0.005188106942897742
#16 0.7186679130782766 0.004471411265285619 0.5321595682028923 0.003310992803341476 0.9944491856899604 5.444366445301421E-4 0.14925316266997007 0.002081358033185801
#14 0.7005651099625497 0.003122486590782494 0.5187547956869419 0.0023121403998076703 0.9983297924355572 3.3222213982247827E-4 0.6285969280585346 0.004371333425104288
#12 0.6930642499411398 0.004486468209200808 0.5132005551851693 0.0033221421765419605 0.9884171873595667 0.0013501537612540019 1.2688211337115833 0.007063630410601123
