#Got alpha= 0.58  x_B= 0.666666666667
# Pres vf c/a f_ex g_ex df stderr(df)
28   0.578739021969   1.0332439646881766   5.98235100311   14.2585904504   -0.6624139384088907   7.964895456824267E-4   15.8522482715
30   0.585460070693   1.0302657455857618   6.12104456169   15.0339585792   -0.6827709849914101   7.061763949686858E-4   16.6735165777
35   0.608791658557   1.0388968963037442   6.62855730709   16.9426988929   -0.7706109571455046   3.7652485954126937E-4   18.6582513287
40   0.626987277516   1.0464793179701575   7.0599656058   18.8001652042   -0.8640818512714716   6.181268694766867E-4   20.5903487438
50   0.652825653379   1.047548827090429   7.7427684456   22.4042951595   -1.0631691700944248   7.815272987894309E-4   24.3368545486
60   0.670485746492   1.0541498252566384   8.28082793067   25.916108376   -1.2701325667505183   5.814068508706471E-4   27.9776046336
70   0.684838344838   1.0579912932223168   8.77494708363   29.3652235711   -1.5197648762624776   5.019670835735573E-4   31.5385097625
80   0.69376613663   1.058269817982854   9.11837588115   32.7663472028   -1.7347152360450178   7.651337774805698E-4   35.0472605722
90   0.70222411867   1.0611330328034407   9.47444114956   36.1350521517   -2.009336644725901   5.920946318591509E-4   38.5095131855
100   0.70866524309   1.059776091331131   9.77174659346   39.477376977   -2.288783201661577   7.388708980893519E-4   41.9389372245
