# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
100 0.8794154434698154 8.847035362641362E-4 0.6511899782241694 6.551057077598025E-4   0.045334558858160505 0.0018461658923640107
90 0.8667535239515622 7.919638732973491E-4 0.6418140738588389 5.86433796732128E-4   0.04995297403976453 0.0023845452384306442
80 0.848796029868503 9.523902838528558E-4 0.6285168998465552 7.052264237548116E-4   0.052067570204057084 0.00237184562620515
70 0.8334925639111306 8.191910014171014E-4 0.617184981880439 6.06594953876589E-4   0.056639748504921 0.0024595013917127276
60 0.8044841633548466 8.116580768390341E-4 0.5957048272313094 6.010169702040676E-4   0.06200646119748271 0.00292531672657638
50 0.7713117874027652 0.0012909080521403468 0.5711413300420297 9.558922265979577E-4   0.07324007034606325 0.003560124661463868
40 0.7226337215084464 0.0017973812432914662 0.5350961719712934 0.0013309257431987722   0.09477349482572268 0.004355365727612358
#35 0.6399778449371697 9.842354378392594E-4 0.47389110801178524 7.288071389920176E-4   0.11963985940762474 0.004855629236250472
