# Pres vf c/a f_ex g_ex df stderr(df)
28   0.578739021969   1.0332439646881766   6.11395100311   16.8531216161   -0.6624139384088907   7.964895456824267E-4
30   0.585460070693   1.0302657455857618   6.25264456169   17.6859362693   -0.6827709849914101   7.061763949686858E-4
35   0.608791658557   1.0388968963037442   6.76015730709   19.7097491415   -0.7706109571455046   3.7652485954126937E-4
40   0.626987277516   1.0464793179701575   7.1915656058   21.6712967011   -0.8640818512714716   6.181268694766867E-4
50   0.652825653379   1.047548827090429   7.8743684456   25.4581863567   -1.0631691700944248   7.815272987894309E-4
60   0.670485746492   1.0541498252566384   8.41242793067   29.1256287859   -1.2701325667505183   5.814068508706471E-4
70   0.684838344838   1.0579912932223168   8.90654708363   32.7077142878   -1.5197648762624776   5.019670835735573E-4
80   0.69376613663   1.058269817982854   9.24997588115   36.2294172048   -1.7347152360450178   7.651337774805698E-4
90   0.70222411867   1.0611330328034407   9.60604114956   39.7037875038   -2.009336644725901   5.920946318591509E-4
100   0.70866524309   1.059776091331131   9.90334659346   43.1423421938   -2.288783201661577   7.388708980893519E-4
